"","site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"85","goshen","4",4.95,31,3042,"W","C",0.000120147387280753,2.00245645467922e-05,4.04536657510954,5.65042435656916,5.59509890157047,0.573737054409925
"86","goshen","5",5.08,32,2696,"W","B",0.000106481708122587,1.77469513537646e-05,3.49349436097728,4.12180663657982,2.67864703105609,0.46912659138582
"87","goshen","6",5.02,33,4428,"W","F",0.000174889096278493,2.91481827130822e-05,5.80641089902035,4.4199824909591,3.48378306161196,0.795932687852121
"88","goshen","7",5.1,34,2015,"W","B",7.95848078141742e-05,1.32641346356957e-05,2.60081071288151,4.12180663657982,2.67864703105609,1.13564490286624
"89","goshen","8",5.04,35,7240,"W","C",0.000285952361575494,4.76587269292491e-05,9.45609661294624,5.65042435656916,5.59509890157047,1.36035924416238
"90","goshen","9",5.06,36,4470,"W","F",0.000176547935945091,2.94246559908485e-05,5.81514940530603,4.4199824909591,3.48378306161196,0.800949364339226
"91","jackson_mill","1",5.02,103,1824,"W","B",7.20410369494063e-05,1.20068394915677e-05,2.39180069553142,3.02229249862359,1.23318799089995,1.02253964155466
"92","jackson_mill","10",4.99,112,2294,"W","F",9.06042427422906e-05,1.51007071237151e-05,3.02619381236776,2.65163161463512,0.508787084250977,1.47237305869921
"93","jackson_mill","11",5.03,113,2261,"W","C",8.93008687185349e-05,1.48834781197558e-05,2.95894197211845,2.14233220219507,1.68533110768131,0.969079329517485
"94","jackson_mill","12",5.02,114,2950,"W","B",0.000116513738487253,1.94189564145421e-05,3.86831801086496,3.02229249862359,1.23318799089995,1.37209495792116
"95","jackson_mill","13",5.05,115,1912,"S","B",7.55167010127549e-05,1.25861168354591e-05,2.49230036345726,2.78910311812677,1.00798341246574,0.588904045441518
"96","jackson_mill","14",5.12,116,1968,"S","F",7.77284872348858e-05,1.2954747872481e-05,2.53022419384394,2.36193333009181,0.61357624606553,0.548557297748313
"97","jackson_mill","15",5.08,117,2569,"S","C",0.000101465692940255,1.69109488233758e-05,3.3289269337354,2.93545418675331,0.758799147378482,1.03709327650528
"98","jackson_mill","16",5.04,118,2197,"W","B",8.67731130360996e-05,1.44621855060166e-05,2.86948125119377,3.02229249862359,1.23318799089995,0.247831228583895
"99","jackson_mill","17",5.08,119,1897,"W","F",7.49242582746841e-05,1.2487376379114e-05,2.45814495651851,2.65163161463512,0.508787084250977,0.760580070154346
"100","jackson_mill","18",5.01,120,1762,"W","C",6.95922736320471e-05,1.15987122720079e-05,2.31511222994169,2.14233220219507,1.68533110768131,0.205039860664919
"101","jackson_mill","19",5.07,121,1975,"W","F",7.80049605126521e-05,1.30008267521087e-05,2.56426563157962,2.65163161463512,0.508787084250977,0.343428462552734
"102","jackson_mill","2",5.08,104,1974,"W","F",7.79654643301141e-05,1.2994244055019e-05,2.55792205807461,2.65163161463512,0.508787084250977,0.368364525992132
"103","jackson_mill","20",4.98,122,2239,"W","B",8.84319527026978e-05,1.4738658783783e-05,2.95957003690421,3.02229249862359,1.23318799089995,0.101724087782605
"104","jackson_mill","21",5.03,123,1784,"W","C",7.04611896478843e-05,1.17435316079807e-05,2.33469813279935,2.14233220219507,1.68533110768131,0.228282655826523
"105","jackson_mill","22",5.06,124,1902,"S","C",7.51217391873744e-05,1.25202898645624e-05,2.4743655858819,2.93545418675331,0.758799147378482,1.21531133097447
"106","jackson_mill","23",5.02,125,1691,"S","F",6.67880446718454e-05,1.11313407786409e-05,2.21739856148225,2.36193333009181,0.61357624606553,0.471122438446286
"107","jackson_mill","24",4.99,126,2594,"S","B",0.000102453097503706,1.70755162506177e-05,3.42194714441236,2.78910311812677,1.00798341246574,1.25566357235488
"108","jackson_mill","3",5.03,105,734,"W","C",2.899019798293e-05,4.83169966382166e-06,0.960576473920807,2.14233220219507,1.68533110768131,1.40240184600893
"109","jackson_mill","4",5.03,106,1535,"S","F",6.06266401959094e-05,1.01044400326516e-05,2.00883499655101,2.36193333009181,0.61357624606553,1.15095177104718
"110","jackson_mill","5",5.04,107,2259,"S","B",8.92218763534588e-05,1.48703127255765e-05,2.95045887412232,2.78910311812677,1.00798341246574,0.320155577959043
"111","jackson_mill","6",4.98,108,2113,"S","C",8.34554337029033e-05,1.39092389504839e-05,2.79301986957508,2.93545418675331,0.758799147378482,0.375420340600864
"112","jackson_mill","7",5.11,109,1779,"S","B",7.0263708735194e-05,1.17106181225323e-05,2.29170609051513,2.78910311812677,1.00798341246574,0.986915104872404
"113","jackson_mill","8",5.01,110,2394,"S","C",9.45538609960958e-05,1.57589768326826e-05,3.14550435782089,2.93545418675331,0.758799147378482,0.553638395070048
"114","jackson_mill","9",5.09,111,2081,"S","F",8.21915558616856e-05,1.36985926436143e-05,2.69127556849003,2.36193333009181,0.61357624606553,1.07351691174515
"115","reedsville","1",5.01,1,1402,"S","C",5.53736479183485e-05,9.22894131972475e-06,1.84210405583328,2.87453376041769,1.50365677094047,1.37322522604499
"116","reedsville","10",5.02,10,1713,"W","B",6.76569606876826e-05,1.12761601146138e-05,2.24624703478362,2.17326257939284,0.772605746833926,0.188930656262561
"117","reedsville","11",4.99,11,1419,"W","F",5.60450830214954e-05,9.34084717024923e-06,1.87191326057099,2.09748567720065,0.62547231439057,0.721286654708123
"118","reedsville","12",5.05,12,1555,"W","C",6.14165638466704e-05,1.02360939744451e-05,2.02694930187031,2.3660828107996,1.30787787913399,0.518601184926905
"119","reedsville","13",4.99,13,1730,"W","F",6.83283957908295e-05,1.13880659651382e-05,2.2821775481239,2.09748567720065,0.62547231439057,0.590567693162254
"120","reedsville","14",5.03,14,2052,"W","B",8.10461665680821e-05,1.35076944280137e-05,2.68542632763692,2.17326257939284,0.772605746833926,1.32580879793577
"121","reedsville","15",5,15,2540,"W","C",0.000100320303646651,1.67200506077752e-05,3.34401012155505,2.3660828107996,1.30787787913399,1.49544131964826
"122","reedsville","16",4.99,16,2635,"S","C",0.000104072440987766,1.73454068312944e-05,3.47603343312513,2.87453376041769,1.50365677094047,0.800049165916
"123","reedsville","17",5.04,17,2236,"S","F",8.83134641550837e-05,1.47189106925139e-05,2.92041878819721,2.4086299458089,0.997568794256349,1.02607227759131
"124","reedsville","18",5.05,18,1871,"S","B",7.38973575286948e-05,1.23162262547825e-05,2.43885668411534,2.48929973274058,0.497570014239121,0.202757590617168
"125","reedsville","19",5,19,1364,"W","F",5.38727929819025e-05,8.97879883031709e-06,1.79575976606342,2.09748567720065,0.62547231439057,0.964793818032433
"126","reedsville","2",5.07,2,1629,"S","F",6.43392813544862e-05,1.0723213559081e-05,2.11503226017377,2.4086299458089,0.997568794256349,0.588626443259964
"127","reedsville","20",5.04,20,1614,"W","C",6.37468386164155e-05,1.06244731027359e-05,2.10803037752697,2.3660828107996,1.30787787913399,0.394612428866065
"128","reedsville","21",5.01,21,1482,"W","B",5.85333425213926e-05,9.75555708689877e-06,1.94721698341293,2.17326257939284,0.772605746833926,0.585151215626406
"129","reedsville","22",5,22,1988,"S","B",7.85184108856468e-05,1.30864018142745e-05,2.61728036285489,2.48929973274058,0.497570014239121,0.514422599641678
"130","reedsville","23",4.98,23,2067,"S","F",8.16386093061529e-05,1.36064348843588e-05,2.73221584023269,2.4086299458089,0.997568794256349,0.648749031218479
"131","reedsville","24",5.01,24,2577,"S","C",0.000101781662400559,1.69636104000932e-05,3.38595017965932,2.87453376041769,1.50365677094047,0.680230261486821
"132","reedsville","3",5.02,3,2087,"S","B",8.24285329569139e-05,1.37380888261523e-05,2.73667108090684,2.48929973274058,0.497570014239121,0.994317748606853
"133","reedsville","4",4.98,4,1846,"W","F",7.29099529652435e-05,1.21516588275406e-05,2.44009213404429,2.09748567720065,0.62547231439057,1.0955127795783
"134","reedsville","5",5.04,5,1389,"W","B",5.48601975453538e-05,9.14336625755897e-06,1.81415997173789,2.17326257939284,0.772605746833926,0.929588238571922
"135","reedsville","6",5,6,1508,"W","C",5.9560243267382e-05,9.92670721123033e-06,1.98534144224607,2.3660828107996,1.30787787913399,0.582227705855288
"136","reedsville","7",5,7,1644,"S","B",6.4931724092557e-05,1.08219540154262e-05,2.16439080308523,2.48929973274058,0.497570014239121,1.30598275763136
"137","reedsville","8",5,8,1418,"S","F",5.60055868389573e-05,9.33426447315955e-06,1.86685289463191,2.4086299458089,0.997568794256349,1.08619486554982
"138","reedsville","9",5.03,9,2135,"S","C",8.43243497187404e-05,1.40540582864567e-05,2.79404737305303,2.87453376041769,1.50365677094047,0.107054201357829
