"site","plot","subsample_weight","POM...MAOM","fraction","pom_weight","crop","treatment","date","land_type","weight_bc"
"Jackson Mill",12,10.02,10.47,"POM",2.25,"Willow","Biochar","June 2021","Agriculture",0.791325195595161
"Jackson Mill",13,10.01,10.05,"POM",1.53,"Switchgrass","Biochar","June 2021","Agriculture",0.419834133783798
"Jackson Mill",14,10.02,11.37,"POM",2.09,"Switchgrass","Control","June 2021","Agriculture",0.720939585346848
"Jackson Mill",15,9.99,10.13,"POM",2.36,"Switchgrass","Control","June 2021","Agriculture",0.836701778550963
"Jackson Mill",16,10,10.38,"POM",2.34,"Willow","Biochar","June 2021","Agriculture",0.828620575175845
"Jackson Mill",17,9.99,10.56,"POM",2.39,"Willow","Control","June 2021","Agriculture",0.848688390869684
"Jackson Mill",18,10,11,"POM",2.16,"Willow","Control","June 2021","Agriculture",0.752412871435865
"Jackson Mill",19,10.03,10.55,"POM",2.65,"Willow","Control","June 2021","Agriculture",0.946337206631709
"Jackson Mill",2,10.02,10.52,"POM",1.93,"Willow","Control","June 2021","Agriculture",0.644591319903584
"Jackson Mill",22,9.99,10.16,"POM",2.36,"Switchgrass","Control","June 2021","Agriculture",0.836701778550963
"Jackson Mill",23,10.02,10.7,"POM",2.99,"Switchgrass","Control","June 2021","Agriculture",1.05971233448297
"Jackson Mill",24,10.05,10.49,"POM",1.96,"Switchgrass","Biochar","June 2021","Agriculture",0.659406289985537
"Jackson Mill",3,NA,10.5,"POM",1.98,"Willow","Control","June 2021","Agriculture",0.669149933981652
"Jackson Mill",4,9.98,11.11,"POM",2.27,"Switchgrass","Control","June 2021","Agriculture",0.799748132281468
"Jackson Mill",6,10.02,10.89,"POM",2.58,"Switchgrass","Control","June 2021","Agriculture",0.921081857728958
"Jackson Mill",7,9.98,9.58,"POM",2.47,"Switchgrass","Biochar","June 2021","Agriculture",0.879888528156179
"Jackson Mill",8,9.98,10.1,"POM",2.18,"Switchgrass","Control","June 2021","Agriculture",0.761206783575156
"Jackson Mill",9,10.02,10.79,"POM",2.19,"Switchgrass","Control","June 2021","Agriculture",0.765571706429936
"Reedsville",10,NA,10.09,"POM",2.43,"Willow","Biochar","June 2021","Agriculture",0.864424642645648
"Reedsville",11,10.01,9.97,"POM",1.83,"Willow","Control","June 2021","Agriculture",0.593383244675037
"Reedsville",12,10,10.17,"POM",2.07,"Willow","Control","June 2021","Agriculture",0.711741578015463
"Reedsville",13,10.01,10.3,"POM",1.72,"Willow","Control","June 2021","Agriculture",0.533508545464644
"Reedsville",15,10.01,9.89,"POM",3.14,"Willow","Control","June 2021","Agriculture",1.10545009439855
"Reedsville",17,10.01,10.62,"POM",3.26,"Switchgrass","Control","June 2021","Agriculture",1.14040207093751
"Reedsville",18,9.98,10.34,"POM",3.28,"Switchgrass","Biochar","June 2021","Agriculture",1.14609451812572
"Reedsville",19,10.01,9.74,"POM",2.95,"Willow","Control","June 2021","Agriculture",1.04710396841257
"Reedsville",2,10.01,9.92,"POM",2.66,"Switchgrass","Control","June 2021","Agriculture",0.949887262234851
"Reedsville",21,10.02,10.57,"POM",1.87,"Willow","Biochar","June 2021","Agriculture",0.614214456075991
"Reedsville",22,NA,11.31,"POM",2.74,"Switchgrass","Biochar","June 2021","Agriculture",0.977788128493189
"Reedsville",23,9.99,10.3,"POM",2.51,"Switchgrass","Control","June 2021","Agriculture",0.895089059477473
"Reedsville",24,9.98,10.79,"POM",3.37,"Switchgrass","Control","June 2021","Agriculture",1.17126294671166
"Reedsville",4,9.98,9.92,"POM",2.76,"Willow","Control","June 2021","Agriculture",0.984628397314688
